"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/29/2016","Costa","COSTA VIDA","8.93","debit","Travel","Discover","",""
"2/26/2016","Salt Lake Sugarhouse","SALT LAKE SUGARHOUSE DI","10.00","debit","Clothing","CREDIT CARD","",""
"2/19/2016","Cranky Als","CRANKY ALS","3.25","debit","Uncategorized","CREDIT CARD","",""
"2/19/2016","Pilot Travel Center","PILOT","30.88","debit","Gas & Fuel","CREDIT CARD","",""
"2/19/2016","Clock Shadow Creamery","CLOCK SHADOW CREAMERY","5.28","debit","Restaurants","CREDIT CARD","",""
"2/19/2016","Transfer Pizzeria Cafe","TRANSFER PIZZERIA CAFE","31.04","debit","Transfer","CREDIT CARD","",""
"2/18/2016","Sundance","SUNDANCE INC","9.09","debit","Movies & DVDs","CREDIT CARD","",""
"2/26/2016","Wal-Mart","WAL-MART SC - #2511 AMERICAN FORKUT","42.93","debit","Shopping","Discover","",""
"2/25/2016","Chipotle","CHIPOTLE 2673 AMERICAN FORKUT","15.10","debit","Fast Food","Discover","",""
"2/25/2016","Ccri By Upma","CCRI BY UPMA SALT LAKE CITUT","2.00","debit","Parking","Discover","",""
